10 12 25000.0
1 1 1 73039.3
1 2 2 58558.4
1 3 3 53565.6
1 4 4 99687.7
1 5 5 81105.4
1 6 6 23184.0
1 7 7 96790.3
1 8 8 78528.8
1 9 9 65781.7
1 10 10 16541.8
1 1 2 100810.5
1 2 3 91411.2
1 3 4 121997.6
1 4 5 174185.5
1 5 6 96974.8
1 6 7 104113.4
1 7 8 127874.3
1 8 9 96236.9
1 9 10 71838.2
1 1 3 138281.3
1 2 4 176293.2
1 3 5 188831.7
1 4 6 194349.5
1 5 7 149793.3
1 6 8 146445.0
1 7 9 152347.9
1 8 10 97492.8
1 1 4 214303.0
1 2 5 194354.5
1 3 6 211177.8
1 4 7 216364.6
1 5 8 218080.1
1 6 9 153637.0
1 7 10 154827.4
1 1 5 254324.6
1 2 6 216363.3
1 3 7 245531.0
1 4 8 236535.4
1 5 9 224180.6
1 6 10 158017.3
1 1 6 276067.9
1 2 7 261307.7
1 3 8 287225.3
1 4 9 253440.8
1 5 10 231776.8
1 1 7 328886.6
1 2 8 296692.1
1 3 9 303286.5
1 4 10 256052.0
1 1 8 367864.7
1 2 9 307004.0
1 3 10 307168.3
1 1 9 368405.5
1 2 10 321225.2
1 1 10 378844.0
2 1 1 66874.7
2 2 2 18147.4
2 3 3 18006.1
2 4 4 89763.2
2 5 5 16319.4
2 6 6 60612.0
2 7 7 48721.4
2 8 8 79910.5
2 9 9 82777.6
2 10 10 81520.8
2 1 2 83267.7
2 2 3 20016.6
2 3 4 91494.4
2 4 5 95477.2
2 5 6 70871.3
2 6 7 80824.0
2 7 8 84392.8
2 8 9 96711.0
2 9 10 146183.7
2 1 3 86221.4
2 2 4 97880.9
2 3 5 103283.0
2 4 6 154687.6
2 5 7 95072.7
2 6 8 143384.7
2 7 9 101945.3
2 8 10 149075.3
2 1 4 150860.9
2 2 5 107596.1
2 3 6 160774.2
2 4 7 159126.3
2 5 8 151235.2
2 6 9 158137.7
2 7 10 176561.4
2 1 5 152415.4
2 2 6 164584.2
2 3 7 166694.6
2 4 8 204412.3
2 5 9 162511.1
2 6 10 216160.7
2 1 6 175714.9
2 2 7 178214.6
2 3 8 218930.1
2 4 9 225589.7
2 5 10 227143.1
2 1 7 184850.1
2 2 8 220273.3
2 3 9 234859.9
2 4 10 285051.1
2 1 8 227491.7
2 2 9 238315.0
2 3 10 285114.0
2 1 9 248206.3
2 2 10 301069.5
2 1 10 309772.4
3 1 1 104314.9
3 2 2 18404.6
3 3 3 35665.9
3 4 4 31417.0
3 5 5 26683.1
3 6 6 103965.2
3 7 7 31327.6
3 8 8 59133.2
3 9 9 103618.3
3 10 10 93009.0
3 1 2 120538.8
3 2 3 51592.6
3 3 4 65907.6
